Iteration	Posterior	Likelihood	Prior	beta_categories[1]	beta_categories[2]	beta_categories[3]	beta_categories[4]	beta_scale	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	tree_length
972	-421.4511	-434.7742	13.3231	0.0675717	0.332652	0.667348	0.932428	0.6028286	0.073916	0.0133825	0.0924542	0.00160564	0.00196376	0.0071367	0.0121916	0.0336198	0.0306966	0.0811494	0.017172	0.0214727	0.0235884	0.090924	0.0539075	0.95425	0.0193814	0.0233062	0.00306298	0.301647	0.557379	0.833304	1.20004	1.79411	3.31513	0.8665956	0.133139	0.0241047	0.16653	0.0028921	0.00353715	0.0128547	0.0219598	0.0605566	0.0552911	0.146168	0.0309304	0.038677	0.0424877	0.163774	0.097099	0.5551807
1008	-417.2496	-429.6759	12.42633	3.16841e-08	0.0622876	0.937712	1	0.04905688	0.0594167	0.0355044	0.0280007	0.0332864	0.00936546	0.00958369	0.00240155	0.0847216	0.0440114	0.15371	0.00211732	0.0385418	0.0943519	0.0277968	0.0276748	0.0597014	0.79613	0.088811	0.0553575	0.237329	0.495857	0.803446	1.24464	2.01671	4.21357	1.039997	0.0913421	0.0545814	0.043046	0.0511717	0.0143977	0.0147331	0.00369194	0.130244	0.0676594	0.236301	0.00325498	0.0592509	0.145049	0.0427325	0.0425449	0.6504849
1044	-414.1645	-425.745	11.58054	1.98249e-10	0.047477	0.952523	1	0.03659588	0.131897	0.0465335	0.0985487	0.0215946	0.0102801	0.00591486	0.00205259	0.162002	0.0780035	0.0425795	0.0934855	0.153204	0.0273127	0.049025	0.0559592	0.196351	0.231394	0.0311525	0.541102	0.175071	0.427478	0.7671	1.30361	2.3393	5.71198	1.259994	0.13481	0.0475612	0.100725	0.0220715	0.0105071	0.00604549	0.00209792	0.16558	0.0797261	0.0435198	0.0955501	0.156588	0.0279159	0.0501077	0.0571951	0.9783929
1080	-413.2135	-425.9535	12.73999	6.44475e-06	0.0916988	0.908301	0.999994	0.07547663	0.10165	0.0207804	0.0546789	0.0142093	0.0051692	0.00797135	0.000317034	0.058936	0.0345674	0.0946319	0.0141201	0.00646706	0.0798876	0.0305344	0.0529136	0.505896	0.302647	0.0706564	0.120801	0.191142	0.446185	0.777419	1.28631	2.24122	5.23172	1.196491	0.176221	0.036025	0.0947913	0.0246332	0.00896132	0.0138191	0.00054961	0.102171	0.059926	0.164054	0.0244787	0.0112113	0.138493	0.0529344	0.0917311	0.5768343
1116	-419.4873	-430.5231	11.03571	0.189922	0.406879	0.593121	0.810078	1.692441	0.0261749	0.0151514	0.0255241	0.00452313	0.00166633	0.00616967	0.0015262	0.0213213	0.0126771	0.0491743	0.00473884	0.025384	0.0239346	0.00351662	0.0111304	0.935648	0.0474882	0.0108187	0.00604526	0.0733107	0.279601	0.67194	1.48823	3.57652	13.6406	1.889414	0.112526	0.0651356	0.109728	0.0194449	0.00716354	0.0265233	0.00656113	0.09166	0.0544986	0.2114	0.0203722	0.109126	0.102895	0.0151179	0.0478493	0.2326128
1152	-412.2307	-423.2102	10.97956	0.0228994	0.270123	0.729877	0.977101	0.3449287	0.00924114	0.00279531	0.0109849	0.000213809	0.000627331	0.0010697	0.00347202	0.0118751	0.00392952	0.00374086	0.0225322	0.00297505	0.00657237	0.00450889	0.00631055	0.909332	0.06751	0.00380469	0.0193531	0.0286274	0.176754	0.582362	1.71715	5.65759	34.9316	2.569348	0.10172	0.0307689	0.120914	0.00235347	0.00690523	0.0117745	0.0382176	0.130713	0.0432534	0.0411768	0.248019	0.0327473	0.0723442	0.0496307	0.0694622	0.09084868
1188	-415.1624	-427.6163	12.45389	0.0429414	0.304618	0.695382	0.957059	0.4609122	0.0342336	0.0033775	0.0306909	0.00712156	4.87908e-05	0.00553317	0.00165125	0.0184074	0.049265	0.0220969	0.0604348	0.00513878	0.0252492	0.013224	0.0452025	0.686933	0.0871138	0.0294551	0.196498	0.0828509	0.296791	0.684564	1.46078	3.36937	12.0699	1.800957	0.106423	0.0104997	0.0954094	0.022139	0.000151677	0.0172011	0.00513328	0.0572235	0.153151	0.0686932	0.187875	0.015975	0.078493	0.0411098	0.140522	0.3216752
1224	-418.1862	-431.0606	12.87441	0.000332078	0.138601	0.861399	0.999668	0.1231903	0.120122	0.00709664	0.0537514	0.00445399	0.000307956	0.013126	0.00621825	0.0653337	0.0261004	0.0308177	0.0517902	0.0113028	0.0326976	0.00428843	0.0588732	0.197869	0.436918	0.123367	0.241846	0.141732	0.385628	0.742835	1.34619	2.59317	7.05557	1.412744	0.247022	0.0145937	0.110536	0.00915931	0.00063329	0.0269927	0.0127874	0.134354	0.0536736	0.0633745	0.106503	0.0232434	0.0672403	0.00881885	0.121068	0.48628
1260	-413.8172	-425.8726	12.05539	0.000164478	0.127253	0.872747	0.999836	0.1108951	0.0246965	0.00505938	0.0138201	0.00276894	0.00179938	0.00168917	0.00308831	0.0296007	0.00307168	0.0219641	0.0392106	0.0066067	0.017765	0.00669033	0.0214966	0.0665181	0.713682	0.0469329	0.172867	0.0768372	0.286082	0.676761	1.47763	3.4955	13.0145	1.855442	0.123899	0.0253822	0.0693339	0.0138914	0.00902726	0.00847433	0.0154937	0.148503	0.0154102	0.110191	0.196714	0.0331449	0.0891248	0.0335645	0.107845	0.1993275
1296	-415.892	-427.8102	11.9182	8.61414e-08	0.0663294	0.933671	1	0.0525518	0.117413	0.0773341	0.172176	0.00317664	0.0069616	0.00363777	0.00345898	0.18868	0.00788381	0.0393029	0.0495395	0.0749562	0.0682139	0.150377	0.192636	0.0131915	0.771077	0.0994286	0.116302	0.192287	0.447487	0.778126	1.28514	2.2347	5.20057	1.192172	0.10159	0.0669127	0.148974	0.00274856	0.00602347	0.00314755	0.00299285	0.163254	0.0068214	0.0340065	0.0428637	0.0648552	0.0590215	0.130113	0.166676	1.155747
